tier,step,figure_stem,recommended_caption,claim_supported,why_included,caveat,pdf_path,png_path,exists_pdf,exists_png
main,step1,step1_control_split_summary,Frozen Control A / Control B split used for transfer and control-partition sensitivity analyses.,Downstream transfer and Step 8 sensitivity rely on an explicit disjoint-control design.,This is the clearest visual anchor for the control-partition methodology.,Small cohorts still permit sensitivity to alternate near-optimal control splits.,report/figures/v4/pdf/step1/step1_control_split_summary.pdf,report/figures/v4/png/step1/step1_control_split_summary.png,True,True
main,step2,f1_within_condition_heatmap,Subject-level within-condition macro-F1 across classifiers and source conditions.,The source-condition benchmark is strong enough to make downstream transfer interpretable.,This is the cleanest subject-primary overview of Step 2.,ALS still requires small-sample caution despite its strong scores.,report/figures/v4/pdf/step2/f1_within_condition_heatmap.pdf,report/figures/v4/png/step2/f1_within_condition_heatmap.png,True,True
main,step2,step2_subject_stride_leaders,Condition-level leaders with subject-primary and stride-level companion metrics.,The paper can report exact Step 2 leaders without hard-coded manuscript values.,The panel complements the heatmap with exact condition-level numbers.,"Nested winners are protocol-specific, not universal classifier rankings.",report/figures/v4/pdf/step2/step2_subject_stride_leaders.pdf,report/figures/v4/png/step2/step2_subject_stride_leaders.png,True,True
main,step3,cross_condition_f1_heatmap,Absolute subject-level zero-shot transfer performance by direction and classifier.,Transfer success is directional and classifier-dependent rather than uniform.,It complements matched degradation with the absolute transfer-performance surface.,Absolute F1 should still be interpreted alongside the within-source baseline.,report/figures/v4/pdf/step3/cross_condition_f1_heatmap.pdf,report/figures/v4/png/step3/cross_condition_f1_heatmap.png,True,True
main,step3,degradation_heatmap,Subject-level matched degradation by transfer direction and classifier.,Transfer is measurable but usually degraded relative to within-source subject baselines.,Matched degradation is the central Step 3 comparison lens.,"Direction-level means are uniformly positive, but individual classifier-direction cells still vary.",report/figures/v4/pdf/step3/degradation_heatmap.pdf,report/figures/v4/png/step3/degradation_heatmap.png,True,True
main,step3,step3_subject_confusion_matrices,Subject-level normalized confusion matrices for the best classifier in each transfer direction.,The strongest transfer directions remain interpretable in terms of control specificity and target-disease recall.,This panel adds error-structure information that the heatmaps do not show directly.,"The matrices summarize only the direction-level leaders, not every classifier.",report/figures/v4/pdf/step3/step3_subject_confusion_matrices.pdf,report/figures/v4/png/step3/step3_subject_confusion_matrices.png,True,True
main,step4,step4_delta_j_normalized_consensus_heatmap,Normalized consensus SHAP reliance shifts across classifiers and transfer directions.,Several timing-structure features recur as transfer-shift signals across model families.,This is the strongest cross-classifier Step 4 panel.,Diagnostic only; not evidence of causal gait biomarkers.,report/figures/v4/pdf/step4/step4_delta_j_normalized_consensus_heatmap.pdf,report/figures/v4/png/step4/step4_delta_j_normalized_consensus_heatmap.png,True,True
main,step4,step4_delta_j_rf_heatmap,Random-forest SHAP reliance shifts under transfer.,"Transfer alters feature reliance in concrete, direction-specific ways for a representative strong model family.",It provides a model-specific diagnostic anchor for the broader SHAP story.,Model-specific SHAP movement should not be generalized without the consensus views.,report/figures/v4/pdf/step4/step4_delta_j_rf_heatmap.pdf,report/figures/v4/png/step4/step4_delta_j_rf_heatmap.png,True,True
main,step4,step4_delta_j_spearman,Direction-wise cross-classifier rank agreement of SHAP transfer-shift features.,"Some directions show coherent diagnostic ranking across classifier families, whereas others are more fragmented.",It indicates when the transfer-diagnosis story is shared across models rather than model-specific.,Agreement patterns are descriptive and should not be overread as proof of a single latent mechanism.,report/figures/v4/pdf/step4/step4_delta_j_spearman.pdf,report/figures/v4/png/step4/step4_delta_j_spearman.png,True,True
main,step5,conformal_cross,Cross-condition exploratory conformal coverage and set-size behavior under shift.,Prediction-set behavior changes under transfer and should be framed as exploratory under domain shift.,It directly supports the caution that target-domain coverage is not guaranteed.,No formal target-domain conformal guarantee should be claimed here.,report/figures/v4/pdf/step5/conformal_cross.pdf,report/figures/v4/png/step5/conformal_cross.png,True,True
main,step5,conformal_within,Within-condition exploratory conformal coverage and set-size behavior.,Source-calibrated set behavior differs materially by method and alpha even before distribution shift.,It gives the matched-domain reference for the conformal diagnostics.,Descriptive only; not the primary performance endpoint.,report/figures/v4/pdf/step5/conformal_within.pdf,report/figures/v4/png/step5/conformal_within.png,True,True
main,step5,noise_curves_cross,Cross-condition Gaussian feature-space stress curves across transfer directions.,Cross-condition performance deteriorates under increasing feature-space stress in a direction-dependent way.,This is the most compact robustness summary for transferred models.,Gaussian feature-space stress is not raw sensor simulation.,report/figures/v4/pdf/step5/noise_curves_cross.pdf,report/figures/v4/png/step5/noise_curves_cross.png,True,True
main,step5,step5_feature_sensitivity_cross,Cross-condition single-feature permutation sensitivity heatmap.,Transfer performance is especially sensitive to a small set of timing-variability features.,This figure links the Step 4 reliance-shift layer to a direct perturbation response surface.,Cross-condition sensitivity under permutation does not establish deployment fragility in the real world.,report/figures/v4/pdf/step5/step5_feature_sensitivity_cross.pdf,report/figures/v4/png/step5/step5_feature_sensitivity_cross.png,True,True
main,step5,step5_feature_sensitivity_within,Within-condition single-feature permutation sensitivity heatmap.,Within-condition models show selective reliance patterns that provide context for transfer sensitivity.,The within-condition perturbation surface is scientifically distinct from the cross-condition one.,Permutation sensitivity is a perturbation diagnostic rather than a causal attribution.,report/figures/v4/pdf/step5/step5_feature_sensitivity_within.pdf,report/figures/v4/png/step5/step5_feature_sensitivity_within.png,True,True
main,step6,kmeans_scatter_k3,Exploratory K-means overlay in subject-level PCA space.,"The subject-level feature space has visible structure, but that structure should remain exploratory rather than confirmatory.",This is the most visually direct Step 6 panel for qualitative geometry context.,Exploratory only; clustering does not prove disease separability or transfer validity.,report/figures/v4/pdf/step6/kmeans_scatter_k3.pdf,report/figures/v4/png/step6/kmeans_scatter_k3.png,True,True
main,step8,step8_direction_degradation_ranges,Direction-wise matched-degradation ranges across the main and alternate near-optimal control partitions.,Control-partition sensitivity affects both sign and effect-size scale.,It complements the sign matrix with direction-level magnitude movement.,Sensitivity includes movement in both within-source baselines and transfer outcomes.,report/figures/v4/pdf/step8/step8_direction_degradation_ranges.pdf,report/figures/v4/png/step8/step8_direction_degradation_ranges.png,True,True
main,step8,step8_sign_stability_matrix,Sign stability of direction-level matched degradation across near-optimal control partitions.,Step 8 qualifies stability claims rather than proving invariance.,This is the clearest figure for the key Step 8 caveat.,Partition 3 reverses four of six direction-level signs.,report/figures/v4/pdf/step8/step8_sign_stability_matrix.pdf,report/figures/v4/png/step8/step8_sign_stability_matrix.png,True,True
supplement,step0,step0_raw_cohort_composition,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step0/step0_raw_cohort_composition.pdf,report/figures/v4/png/step0/step0_raw_cohort_composition.png,True,True
supplement,step1,step1_feature_family_inventory,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step1/step1_feature_family_inventory.pdf,report/figures/v4/png/step1/step1_feature_family_inventory.png,True,True
supplement,step2,step2_best_classifier_confusion_matrices,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step2/step2_best_classifier_confusion_matrices.pdf,report/figures/v4/png/step2/step2_best_classifier_confusion_matrices.png,True,True
supplement,step2,step2_modal_frequency_heatmap,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step2/step2_modal_frequency_heatmap.pdf,report/figures/v4/png/step2/step2_modal_frequency_heatmap.png,True,True
supplement,step2,step2_strategy_summary,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step2/step2_strategy_summary.pdf,report/figures/v4/png/step2/step2_strategy_summary.png,True,True
supplement,step3,step3_best_direction_heatmap,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step3/step3_best_direction_heatmap.pdf,report/figures/v4/png/step3/step3_best_direction_heatmap.png,True,True
supplement,step3,step3_per_subject_accuracy,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step3/step3_per_subject_accuracy.pdf,report/figures/v4/png/step3/step3_per_subject_accuracy.png,True,True
supplement,step3,step3_within_vs_cross_by_direction,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step3/step3_within_vs_cross_by_direction.pdf,report/figures/v4/png/step3/step3_within_vs_cross_by_direction.png,True,True
supplement,step4,delta_j_vs_degradation,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/delta_j_vs_degradation.pdf,report/figures/v4/png/step4/delta_j_vs_degradation.png,True,True
supplement,step4,step4_dependence_proxies,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/step4_dependence_proxies.pdf,report/figures/v4/png/step4/step4_dependence_proxies.png,True,True
supplement,step4,step4_dfa_alpha_stride_directionality,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/step4_dfa_alpha_stride_directionality.pdf,report/figures/v4/png/step4/step4_dfa_alpha_stride_directionality.png,True,True
supplement,step4,step4_rf_within_vs_cross_importance,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/step4_rf_within_vs_cross_importance.pdf,report/figures/v4/png/step4/step4_rf_within_vs_cross_importance.png,True,True
supplement,step4,waterfall_pd_to_hd_case_1,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/waterfall_pd_to_hd_case_1.pdf,report/figures/v4/png/step4/waterfall_pd_to_hd_case_1.png,True,True
supplement,step4,waterfall_pd_to_hd_case_2,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/waterfall_pd_to_hd_case_2.pdf,report/figures/v4/png/step4/waterfall_pd_to_hd_case_2.png,True,True
supplement,step4,waterfall_pd_to_hd_case_3,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step4/waterfall_pd_to_hd_case_3.pdf,report/figures/v4/png/step4/waterfall_pd_to_hd_case_3.png,True,True
supplement,step5,noise_curves_within,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/noise_curves_within.pdf,report/figures/v4/png/step5/noise_curves_within.png,True,True
supplement,step5,step5_corruption_within,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_corruption_within.pdf,report/figures/v4/png/step5/step5_corruption_within.png,True,True
supplement,step5,step5_cross_noise_variants,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_cross_noise_variants.pdf,report/figures/v4/png/step5/step5_cross_noise_variants.png,True,True
supplement,step5,step5_hard_label_consensus_curve,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_hard_label_consensus_curve.pdf,report/figures/v4/png/step5/step5_hard_label_consensus_curve.png,True,True
supplement,step5,step5_hardest_subjects,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_hardest_subjects.pdf,report/figures/v4/png/step5/step5_hardest_subjects.png,True,True
supplement,step5,step5_subject_sensitivity_cross,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_subject_sensitivity_cross.pdf,report/figures/v4/png/step5/step5_subject_sensitivity_cross.png,True,True
supplement,step5,step5_subject_sensitivity_within,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step5/step5_subject_sensitivity_within.pdf,report/figures/v4/png/step5/step5_subject_sensitivity_within.png,True,True
supplement,step6,kmeans_elbow,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step6/kmeans_elbow.pdf,report/figures/v4/png/step6/kmeans_elbow.png,True,True
supplement,step6,kmeans_silhouette,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step6/kmeans_silhouette.pdf,report/figures/v4/png/step6/kmeans_silhouette.png,True,True
supplement,step6,pca_explained_variance,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step6/pca_explained_variance.pdf,report/figures/v4/png/step6/pca_explained_variance.png,True,True
supplement,step8,step8_partition_overview_table,Supplementary diagnostic figure retained for repository depth.,Provides detailed backup for a step-specific interpretation.,Non-redundant repository-facing detail.,Supplement only to avoid redundancy in the main paper.,report/figures/v4/pdf/step8/step8_partition_overview_table.pdf,report/figures/v4/png/step8/step8_partition_overview_table.png,True,True
